"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"AUDIO-JACK2.5MM";"STEREOJACK2.5MM_STEREOJACK2.5MM";"AUDIO";"3.5mm Audio Jack";"";"";"";"";
"8";"";"CPOL-USE5-10.5";"E5-10,5";"C4, C5, C25, C26, C30, C31, C32, C33";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"3";"";"DIL8";"DIL08";"6N1, 23LC1, 24LC1";"Dual In Line / Socket";"";"";"";"";
"1";"";"DIODEDO-1N4148";"DO-1N4148";"D1";"Diode";"";"";"";"";
"1";"";"JACK-PLUG1";"SPC4078";"J1";"DC POWER JACK";"";"";"unknown";"unknown";
"2";"";"LM317TL";"317TL";"LM317_1, LM317_2";"VOLTAGE REGULATOR";"";"";"";"";
"1";"";"PINHD-1X8";"1X08";"EXPANSION";"PIN HEADER";"";"";"";"";
"14";"0.1bp";"C-US050-025X075";"C050-025X075";"C1, C3, C7, C9, C10, C16, C17, C18, C19, C21, C23, C24, C27, C28";"CAPACITOR, American symbol";"";"";"";"";
"5";"10k";"R-US_0207/5V";"0207/5V";"R5, R12, R13, R22, R23";"RESISTOR, American symbol";"";"";"";"";
"4";"10uf";"C-US050-025X075";"C050-025X075";"C6, C8, C20, C22";"CAPACITOR, American symbol";"";"";"";"";
"8";"12k";"R-US_0207/5V";"0207/5V";"R6, R7, R10, R11, R14, R15, R18, R19";"RESISTOR, American symbol";"";"";"";"";
"1";"1bp";"C-US050-025X075";"C050-025X075";"C13";"CAPACITOR, American symbol";"";"";"";"";
"2";"1bp";"CPOL-USE5-10.5";"E5-10,5";"C2, C29";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"3";"1k";"R-US_0207/5V";"0207/5V";"R1, R4, R21";"RESISTOR, American symbol";"";"";"";"";
"1";"220";"R-US_0207/5V";"0207/5V";"R3";"RESISTOR, American symbol";"";"";"";"";
"4";"220k";"R-US_0207/5V";"0207/5V";"R8, R9, R16, R17";"RESISTOR, American symbol";"";"";"";"";
"2";"330";"R-US_0207/5V";"0207/5V";"R2, R20";"RESISTOR, American symbol";"";"";"";"";
"1";"7.68mhz";"DIL14";"DIL14";"OSC1";"Dual In Line / Socket";"";"";"";"";
"1";"ARDUINO-TEENSY++";"ARDUINO-TEENSY++";"TEENSY++";"TEENSY++";"Teensy ++";"";"";"";"";
"4";"LM386N-1";"LM386N-1";"DIL08";"L1_AMP, L2_AMP, R1_AMP, R2_AMP";"Low Voltage Audio Power Amplifier";"";"";"";"";
"1";"MIDIJACK";"MIDIJACK";"CP-2350";"IN";"DIN 5 jack also known as MIDI jack";"";"";"";"";
"4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";
"2";"YM2612";"YM2612";"DIL24-6";"YM2612#1, YM2612#2";"";"";"";"";"";
